Code,Name,Material,Gauge,Factor
GOMOMONE,GOSEN R4X MOMONE,M,0.66,0.420
GOTSUYOSHI,GOSEN R4X TSUYOSHI,M,0.70,0.472
GOGT58,GOSEN G-TONE 58,M,0.58,0.0
GOGT5,GOSEN G-TONE 5,M,0.65,0.407
GOGT9,GOSEN G-TONE 9,M,0.69,0.459
GOGL70,GOSEN G-LITE 70,M,0.70,0.0
GORY58,GOSEN RYZONIC 58,M,0.58,0.0
GORY65,GOSEN RYZONIC 65,M,0.65,0.0
GOGP66,GOSEN G-PRO 66,M,0.66,0.0
GOGP70,GOSEN G-PRO 70,M,0.70,0.0
YOBG80P,YONEX BG80 POWER,M,0.68,0.445
YOBG65TI,YONEX KYO TITAN,M,0.70,0.459
YOBG66UM,YONEX BG66 ULTIMAX,M,0.65,0.407
YOBGABBTM,YONEX AEROBITE BOOST Main,M,0.72,0.499
YOBGABBTC,YONEX AEROBITE BOOST Cross,M,0.61,0.358
YOBGABM,YONEX AEROBITE Main,M,0.67,0.432
YOBGABC,YONEX AEROBITE Cross,M,0.61,0.358
YONBG99,YONEX NANOGY 99,M,0.69,0.459
YOBG66F,YONEX BG66 FORCE,M,0.65,0.407
YONBG98,YONEX NANOGY 98,M,0.66,0.420
YOBGSKY,YONEX SKYARC,M,0.69,0.459
YOBGAS,YONEX AEROSONIC,M,0.61,0.358
YONBG95,YONEX NANOGY 95,M,0.69,0.459
YOBG80,YONEX BG80,M,0.68,0.445
YOBG80P,YONEX BG80 POWER,M,0.68,0.445
YOBG65,YONEX BG65,M,0.70,0.472
YOBGXB63,YONEX EXBOLT 63,M,0.63,0.382
YOBGXB65,YONEX EXBOLT 65,M,0.65,0.407
YOBGXB68,YONEX EXBOLT 68,M,0.68,0.445
WIPX68,Wilson PX68,M,0.68,0.445
WICX66,Wilson CX66,M,0.66,0.420
WISX63,Wilson SX63,M,0.63,0.382
