DateTime,SType,Tension,Frequency,MainString,CrossString,FaceSize,Pattern
20200923192223,B,24,1291.5,YOBG66UM,,56,
20200923192225,B,24,1291.0,YOBG66UM,,56,
20200924201553,B,26,1255.5,YONBG99,,56,
20200924201557,B,26,1257.5,YONBG99,,56,
20200926165834,B,23,1201.0,YOBG65TI,,56,
20200926165838,B,23,1201.0,YOBG65TI,,56,
20200928193005,B,27,1297.5,YOBG80P,,56,
20200928193009,B,27,1298.5,YOBG80P,,56,
20200929190209,B,22,1198.0,YOBG65TI,,56,
20200929190213,B,22,1200.0,YOBG65TI,,56,
20200929195944,B,22,1212.5,GOMOMONE,,56,
20200929195947,B,22,1213.0,GOMOMONE,,56,
20201003163240,B,23,1184.5,YOBG65TI,,56,
20201003163243,B,23,1185.0,YOBG65TI,,56,
20201003173339,B,20,1112.0,YOBG65TI,,56,
20201003173342,B,20,1112.0,YOBG65TI,,56,
20201008165725,B,20,1116.5,YOBG65TI,,58,
20201008165728,B,20,1115.0,YOBG65TI,,58,
20201008192336,B,20,1138.5,YOBG65TI,,56,
20201008192339,B,20,1134.5,YOBG65TI,,56,
20201012194943,B,24,1239.5,YOBG65TI,,56,
20201012194945,B,24,1237.5,YOBG65TI,,56,
20201017154943,B,22,1314.5,YOBGAS,,56,
20201017154948,B,22,1314.5,YOBGAS,,56,
20201019191328,B,22,1294.5,YOBG66UM,,53,
20201019191331,B,22,1298.0,YOBG66UM,,53,
20201022163821,B,24,1251.0,YONBG95,,56,
20201022163827,B,24,1250.5,YONBG95,,56,
20201024155442,B,26,1297.0,YOBG65TI,,53,
20201024155446,B,26,1297.0,YOBG65TI,,53,
20201024172012,B,20,1241.0,YOBG66UM,,56,
20201024172015,B,20,1239.5,YOBG66UM,,56,
20201024183959,B,26,1301.5,YOBG65TI,,53,
20201024184002,B,26,1302.5,YOBG65TI,,53,
20201027183154,B,22,1180.0,YOBG65TI,,55,
20201027183157,B,22,1179.0,YOBG65TI,,55,
20201027193104,B,22,1156.5,YOBG65TI,,56,
20201027193107,B,22,1159.5,YOBG65TI,,56,
20201028200437,B,24,1254.5,YOBG65TI,,54,
20201028200440,B,24,1256.0,YOBG65TI,,54,
20201029162730,B,24,1218.0,YOBG65TI,,56,
20201029162734,B,24,1219.0,YOBG65TI,,56,
20201029195738,B,24,1236.5,YOBG65TI,,56,
20201029195741,B,24,1237.0,YOBG65TI,,56,
20201031161629,B,23,1206.5,YOBG65TI,,56,
20201031161632,B,23,1206.5,YOBG65TI,,56,
20201031174012,B,23,1170.0,YOBG65TI,,56,
20201031174014,B,23,1168.5,YOBG65TI,,56,
20201107150356,B,24,1334.0,YOBG66UM,,56,
20201107150401,B,24,1337.0,YOBG66UM,,56,
20201107161738,B,24,1321.5,YOBG66UM,,56,
20201107161741,B,24,1320.5,YOBG66UM,,56,
20201111192942,B,21,1248.0,YOBG66UM,,54,
20201111192945,B,21,1245.0,YOBG66UM,,54,
20201113164337,B,21,1237.0,YOBG66UM,,56,
20201113164340,B,21,1239.5,YOBG66UM,,56,
20201114153758,B,22,1175.5,YOBG65TI,,56,
20201114153802,B,22,1172.0,YOBG65TI,,56,
20201114170056,B,23,1296.0,YOBG66UM,,56,
20201114170059,B,23,1297.0,YOBG66UM,,56,
20201117193318,B,24,1241.5,YOBG65TI,,56,
20201117193322,B,24,1240.5,YOBG65TI,,56,
20201118192431,B,23-24,1181.0,YOBG80P,,56,
20201118192435,B,23-24,1184.5,YOBG80P,,56,
20201121155105,B,20,1134.5,YOBG65TI,,56,
20201121155111,B,20,1133.5,YOBG65TI,,56,
20201126200358,B,21,1244.0,YOBG66UM,,56,
20201126200402,B,21,1245.5,YOBG66UM,,56,
20201205174938,B,21,1266.0,YOBG66UM,,56,
20201205174941,B,21,1269.0,YOBG66UM,,56,
20201214192057,B,24,1243.0,YOBG65TI,,56,
20201214192100,B,24,1241.5,YOBG65TI,,56,
20201214202436,B,24,1246.0,YOBG65TI,,56,
20201214202438,B,24,1246.5,YOBG65TI,,56,
20201216163138,B,23,1296.0,YOBG66UM,,56,
20201216163141,B,23,1296.0,YOBG66UM,,56,
20201216200902,B,20,1111.0,YOBG65TI,,57,
20201216200905,B,20,1112.0,YOBG65TI,,57,
20201217162531,B,24,1238.0,YOBG65TI,,56,
20201217162534,B,24,1237.5,YOBG65TI,,56,
20201219144853,B,20,1248.5,YOBG66UM,,56,
20201219144856,B,20,1245.0,YOBG66UM,,56,
20201219155236,B,30,1473.0,YOBG66UM,,56,
20201219155242,B,30,1473.0,YOBG66UM,,56,
20201219164938,B,23,1193.0,YOBG65TI,,56,
20201219164943,B,23,1189.5,YOBG65TI,,56,
20201219175123,B,20,1247.5,YOBG66UM,,53,
20201219175127,B,20,1248.0,YOBG66UM,,53,
20201219184926,B,23,1194.5,YOBG65TI,,56,
20201219184930,B,23,1193.0,YOBG65TI,,56,
20201221165203,B,23,1191.5,YOBG65TI,,56,
20201221165207,B,23,1191.0,YOBG65TI,,56,
20201224105439,B,30,1455.0,YOBG66UM,,56,
20201224105443,B,30,1451.0,YOBG66UM,,56,
20201224200512,B,27,1293.0,YOBG80P,,56,
20201224200515,B,27,1291.5,YOBG80P,,56,
20201225162025,B,27,1285.5,YOBG80P,,56,
20201225162028,B,27,1285.0,YOBG80P,,56,
20201226163349,B,20,1132.5,YOBG65TI,,56,
20201226163352,B,20,1128.5,YOBG65TI,,56,
20210104180105,B,23,1277.0,YOBG66UM,,56,
20210104180109,B,23,1278.0,YOBG66UM,,56,
20210105180139,B,23,1282.5,YOBG66UM,,56,
